username,timestamp,likes,comment_text,cleaned_tokens,tok_len,char_len,word_len
MikeLoomis,2023-04-21T20:17:39Z,1,"I second this. It seems like it no longer uses curl at all, and the page is now the ugliest shade of purple, although that may not be relevant.","['second', 'seems', 'like', 'longer', 'us', 'curl', 'page', 'ugliest', 'shade', 'purple', 'although', 'may', 'relevant']",13,143,29
MrHoboninjapirate,2023-04-27T22:41:00Z,1,You have to create an app and then use a language like Javascript to send a request for the token and then manually assemble your own curl statement unfortunately. It&#39;s complicated enough to no longer be &quot;beginner&quot; friendly so I&#39;d recommend just watching that part and jump in at the Twilio section or trying a different API tutorial.,"['create', 'app', 'use', 'language', 'like', 'javascript', 'send', 'request', 'token', 'manually', 'assemble', 'curl', 'statement', 'unfortunately', 'complicated', 'enough', 'longer', 'quot', 'beginner', 'quot', 'friendly', 'recommend', 'watching', 'part', 'jump', 'twilio', 'section', 'trying', 'different', 'api', 'tutorial']",31,352,58
Don_Quixote1,2023-04-27T22:44:27Z,0,@MrHoboninjapirate this is what I ended up doing actually,"['mrhoboninjapirate', 'ended', 'actually']",3,57,9
Rentaplace,2023-04-28T00:33:36Z,0,@MrHoboninjapirate Ah I see. I wasted too much time on this.,"['mrhoboninjapirate', 'see', 'wasted', 'much', 'time']",5,60,11
ruthomuse,2023-04-11T21:51:03Z,0,its okay,['okay'],1,8,2
kryzak123,2023-04-11T19:37:19Z,2,"Great tutorial, but sadly Console is gone with Spotify. :(","['great', 'tutorial', 'sadly', 'console', 'gone', 'spotify']",6,58,10
thecoderguy_0001,2023-04-11T15:20:58Z,0,"Hey folks, can I know what has been deprecated?","['hey', 'folk', 'know', 'deprecated']",4,47,9
JannaHawkins-f6v,2023-04-07T10:47:22Z,1,I love this class! Anyone else getting a 502 Error for the Twilio Developer Documentation?,"['love', 'class', 'anyone', 'else', 'getting', 'error', 'twilio', 'developer', 'documentation']",9,90,15
sumit49,2023-04-06T13:59:29Z,0,I just cant understand how to use curl with windows!!,"['cant', 'understand', 'use', 'curl', 'window']",5,53,10
MisterJohnson,2023-04-06T00:20:54Z,1,"if gender is not a problem, why did they ask","['gender', 'problem', 'ask']",3,44,10
