text,like_count,timestamp,clean_text
"This course is amazing, but since it was creating Spotify recently updated their entire Developers section and the console is missing entirely and I can&#39;t figure out how to get the oauth token. <br>Anyone figured this out yet?",6,2023-04-12T15:31:33Z,this course is amazing but since it was creating spotify recently updated their entire developers section and the console is missing entirely and i can39t figure out how to get the oauth token branyone figured this out yet
"If Anybody watching  in Feb 2025 <br>and Stuck on  <a href=""https://www.youtube.com/watch?v=WXsD0ZgxjRw&amp;t=2346"">39:06</a> on Spotify Dev Mode  OAuth (Missing) <br><br>1) You don&#39;t need to Generate O Auth , The API create Auth Token itself . <br>You need to input only  q and type 👍<br><br>2)  If any body stuck 401 Error (49 :07)<br>- First Create Mobile App from Spotify Developer Dashboard <br>- Second You Can use Postman to get bearer token <br><br> (It helps Me in First two Step )<br>(<a href=""https://www.youtube.com/watch?v=N34BM2CU_3g"">https://www.youtube.com/watch?v=N34BM2CU_3g&amp;t=996s)</a><br><br>- Now you can copy Token Bearer paste in curl <br>- I am using window power shell for command <br><br>(But the output format is really bad format ) you can try another sources except command (worst for muti-line )",5,2025-02-26T09:19:44Z,if anybody watching  in feb 2025 brand stuck on  a hrefhttpswwwyoutubecomwatchvwxsd0zgxjrwampt23463906a on spotify dev mode  oauth missing brbr1 you don39t need to generate o auth  the api create auth token itself  bryou need to input only  q and type brbr2  if any body stuck 401 error 49 07br first create mobile app from spotify developer dashboard br second you can use postman to get bearer token brbr it helps me in first two step bra hrefhttpswwwyoutubecomwatchvn34bm2cu3ghttpswwwyoutubecomwatchvn34bm2cu3gampt996sabrbr now you can copy token bearer paste in curl br i am using window power shell for command brbrbut the output format is really bad format  you can try another sources except command worst for mutiline
"So essentially it’s code that take input from the front end and it send the data in a specific format like json to the backend( the server). Then the server responds with with a http code and with the data that you requested I think in json. And the type of api most commonly use is RestApi and Graphql. Also api are used to provide the data of your application to other application. So if I want info from twitter like profile info, likes, posts etc then I need to get twitter api functions to request the data I want.last thing: why api are important? It allows apps to use data from another app and integrate it into their own apps! 😮",5,2023-09-17T06:58:22Z,so essentially its code that take input from the front end and it send the data in a specific format like json to the backend the server then the server responds with with a http code and with the data that you requested i think in json and the type of api most commonly use is restapi and graphql also api are used to provide the data of your application to other application so if i want info from twitter like profile info likes posts etc then i need to get twitter api functions to request the data i wantlast thing why api are important it allows apps to use data from another app and integrate it into their own apps
Your style of delivering the material is absolutely fantastic. Thank you for your hard work!,5,2023-06-01T11:01:04Z,your style of delivering the material is absolutely fantastic thank you for your hard work
@MrHoboninjapirate Thank you for saying this! I&#39;ve been struggling here for a bit trying to get an auth token and thought it was me.,5,2023-06-29T20:09:09Z,mrhoboninjapirate thank you for saying this i39ve been struggling here for a bit trying to get an auth token and thought it was me
Can u deploy a production api after the course,5,2023-04-29T20:39:21Z,can u deploy a production api after the course
This is the course that actually thought me how to work with API&#39;s,5,2023-02-12T22:21:36Z,this is the course that actually thought me how to work with api39s
Craig&#39;s videos always radiate warmth,5,2023-02-06T21:27:53Z,craig39s videos always radiate warmth
"Thank you, I was going to show the old video for my class to use APIs starting this week",5,2023-02-06T16:35:16Z,thank you i was going to show the old video for my class to use apis starting this week
"Spotify docs changes, Twilio Docs changed, Thunder Client is now behind a paywall... But it&#39;s still good to learn the theory of API REST, and the pace of the course with pauses is great. Just sit back and watch",4,2025-06-21T20:58:33Z,spotify docs changes twilio docs changed thunder client is now behind a paywall but it39s still good to learn the theory of api rest and the pace of the course with pauses is great just sit back and watch
U can literally skip the first 1 hour 🤦🏻‍♂️ I don&#39;t know how come so much positive reviews,4,2024-07-15T14:28:46Z,u can literally skip the first 1 hour  i don39t know how come so much positive reviews
